ID,Deadline,IAR,RespTime,RunTime,selected_models,label,Accuracy,combiner_policy,e2e_time_ms,Success,selected_folder,ModelSize,mobilenet_v3_small_label,resnet18_label,resnet34_label,resnet50_label,resnet101_label,vit_b_16_label,mobilenet_v3_small_prob,resnet18_prob,resnet34_prob,resnet50_prob,resnet101_prob,vit_b_16_prob,mobilenet_v3_small_wait,resnet18_wait,resnet34_wait,resnet50_wait,resnet101_wait,vit_b_16_wait,main_policy,alpha











REQ-00000,1000,5000,0.9944581985473633,2.86102294921875e-06,"['vit_b_16', 'resnet101', 'mobilenet_v3_small']",green_lizard,0.6519232167730996,weighted_majority,993.5504579916596,True,n01693334,3.0,green_lizard,,,,american_chameleon,green_lizard,0.5335502028465271,-1.0,-1.0,-1.0,0.540057361125946,0.47793906927108765,0.051498409939064356,0.06871998527043345,0.10596205627094467,0.18003288365114056,0.3903279998070176,0.2324203353532015,greedy,1.0
REQ-00000,1000,5000,1.5323052406311035,3.0994415283203125e-06,"['vit_b_16', 'resnet101', 'mobilenet_v3_small']",ptarmigan,1.0,weighted_majority,1531.0295000090264,True,n01796340,3.0,ptarmigan,,,,ptarmigan,ptarmigan,0.9304361939430237,-1.0,-1.0,-1.0,0.6863621473312378,0.7715633511543274,0.050913668945157926,0.06871998527043345,0.10596205627094467,0.18003288365114056,0.37950689982631586,0.24629210181788136,greedy,1.0
REQ-00001,1000,5000,1.4657249450683594,5.075103044509888,"['vit_b_16', 'resnet101', 'mobilenet_v3_small']",whiptail,1.0,weighted_majority,1465.5499170185067,True,n01685808,3.0,whiptail,,,,whiptail,whiptail,0.7343156337738037,-1.0,-1.0,-1.0,0.744590163230896,0.8550301790237427,0.05013760205064213,0.06871998527043345,0.10596205627094467,0.18003288365114056,0.4044145098436843,0.2608495916360932,greedy,1.0
REQ-00002,1000,5000,0.634929895401001,13.333276271820068,"['vit_b_16', 'resnet101', 'mobilenet_v3_small']",kite,1.0,weighted_majority,634.1430830070749,True,n01608432,3.0,kite,,,,kite,kite,0.8089418411254883,-1.0,-1.0,-1.0,0.9324316382408142,0.8815476298332214,0.04970934184557792,0.06871998527043345,0.10596205627094467,0.18003288365114056,0.3903916588593159,0.26645913247248393,greedy,1.0
REQ-00003,1000,5000,1.2588701248168945,16.23872208595276,"['vit_b_16', 'resnet101', 'mobilenet_v3_small']",common_newt,0.6070279766144437,weighted_majority,1257.686165976338,True,n01630670,3.0,common_newt,,,,eft,common_newt,0.686043381690979,-1.0,-1.0,-1.0,0.8962190747261047,0.6983555555343628,0.05049440766102013,0.06871998527043345,0.10596205627094467,0.18003288365114056,0.37677719297338436,0.25558141922523553,greedy,1.0
REQ-00004,1000,5000,1.7060537338256836,17.836613178253174,"['vit_b_16', 'resnet101', 'mobilenet_v3_small']",great_grey_owl,1.0,weighted_majority,1706.001958984416,True,n01622779,3.0,great_grey_owl,,,,great_grey_owl,great_grey_owl,0.9999799728393555,-1.0,-1.0,-1.0,0.9994789958000183,0.9075047373771667,0.04983596689491812,0.06871998527043345,0.10596205627094467,0.18003288365114056,0.4120925736760459,0.24913917730271198,greedy,1.0
