REQ-00016,5000,2000,50.18467617034912,21.86247491836548,['mobilenet_v3_small'],thunder_snake,1.0,weighted_majority,50185.90279086493,Skipped,n01728572,3.0,thunder_snake,,,,,,0.4959268271923065,-1.0,-1.0,-1.0,-1.0,-1.0,6.880149683831673,6.921212321401677,6.9889855262757,7.020362878519698,62.56891657291518,11.79109375758752,greedy
REQ-00017,5000,2000,51.26973009109497,23.642974853515625,['mobilenet_v3_small'],horned_viper,1.0,weighted_majority,51271.07770810835,Skipped,n01729322,3.0,horned_viper,,,,,,0.18909551203250885,-1.0,-1.0,-1.0,-1.0,-1.0,6.265471327658016,6.30653396522802,6.374307170102043,6.405684522346041,61.954238216741516,11.176415401413863,greedy
REQ-00019,5000,2000,48.45343995094299,26.867115020751953,['mobilenet_v3_small'],peacock,1.0,weighted_majority,48454.75870813243,Skipped,n01806143,3.0,peacock,,,,,,0.9999986886978149,-1.0,-1.0,-1.0,-1.0,-1.0,5.758184687760029,5.799247325330033,5.867020530204056,5.898397882448054,61.446951576843524,10.669128761515875,greedy
REQ-00018,5000,2000,55.37299299240112,24.659157037734985,['mobilenet_v3_small'],crane,1.0,weighted_majority,55374.23308310099,Skipped,n02012849,3.0,crane,,,,,,0.9979830980300903,-1.0,-1.0,-1.0,-1.0,-1.0,5.753239364179969,5.794302001749973,5.862075206623995,5.893452558867994,61.442006253263465,10.664183437935813,greedy
REQ-00020,5000,2000,55.070911169052124,27.72540593147278,['mobilenet_v3_small'],wallaby,1.0,weighted_majority,55072.25045794621,Skipped,n01877812,3.0,wallaby,,,,,,0.9968254566192627,-1.0,-1.0,-1.0,-1.0,-1.0,5.7129266651662425,5.753989302736247,5.82176250761027,5.853139859854267,61.401693554249746,10.62387073892209,greedy
REQ-00021,5000,2000,55.119657039642334,29.34672784805298,['mobilenet_v3_small'],spiny_lobster,1.0,weighted_majority,55121.131292078644,Skipped,n01984695,3.0,spiny_lobster,,,,,,0.9943822622299194,-1.0,-1.0,-1.0,-1.0,-1.0,5.7129266651662425,5.758934626316308,5.826707831190331,5.858085183434328,61.339805775185226,10.561982959857575,greedy
REQ-00025,5000,2000,52.3139591217041,35.80737781524658,['mobilenet_v3_small'],red-backed_sandpiper,1.0,weighted_majority,52315.32875006087,Skipped,n02027492,3.0,red-backed_sandpiper,,,,,,0.9911307096481323,-1.0,-1.0,-1.0,-1.0,-1.0,5.6874499368926985,5.661679471818127,5.72945267669215,5.760830028936148,61.30938372333162,10.531560908003968,greedy
REQ-00022,5000,2000,58.86996364593506,30.669097900390625,['mobilenet_v3_small'],kite,1.0,weighted_majority,58871.46424991079,Skipped,n01608432,3.0,kite,,,,,,0.9540934562683105,-1.0,-1.0,-1.0,-1.0,-1.0,5.651038886101728,5.6970468472517934,5.764820052125816,5.7961974043698135,61.344751098765286,10.566928283437633,greedy
REQ-00001,5000,2000,90.07921981811523,0.20927786827087402,"['vit_b_16', 'resnet101', 'resnet50']",water_ouzel,1.0,weighted_majority,90081.62575005554,True,n01601694,3.0,,,,water_ouzel,water_ouzel,water_ouzel,-1.0,-1.0,-1.0,0.999936580657959,0.9999651908874512,0.8929458856582642,0.05477896888682197,0.09268294202836441,0.15524282345053886,0.18420653321422992,0.7403051369860638,0.2855214750710207,greedy
REQ-00023,5000,2000,60.930017948150635,31.59729313850403,['mobilenet_v3_small'],prairie_chicken,1.0,weighted_majority,60931.23416695744,Skipped,n01798484,3.0,prairie_chicken,,,,,,0.8900538682937622,-1.0,-1.0,-1.0,-1.0,-1.0,5.677559289732578,5.718621927302582,5.7863951321766045,5.817772484420603,61.36632617881608,10.588503363488424,greedy
REQ-00024,5000,2000,61.59336805343628,32.46703100204468,['mobilenet_v3_small'],tick,1.0,weighted_majority,61594.87787494436,Skipped,n01776313,3.0,tick,,,,,,0.9925227761268616,-1.0,-1.0,-1.0,-1.0,-1.0,5.682504613312639,5.723567250882643,5.791340455756665,5.822717808000664,61.37127150239614,10.593448687068486,greedy
REQ-00028,5000,2000,53.85135817527771,47.88543105125427,['mobilenet_v3_small'],peacock,1.0,weighted_majority,53852.65291715041,Skipped,n01806143,3.0,peacock,,,,,,0.9998623132705688,-1.0,-1.0,-1.0,-1.0,-1.0,9.907930555204906,9.948993192774912,10.016766397648935,10.048143749892931,65.59669744428841,14.862483224955763,greedy
REQ-00026,5000,2000,62.07668709754944,39.89641809463501,['mobilenet_v3_small'],african_chameleon,1.0,weighted_majority,62078.40900006704,Skipped,n01693334,3.0,african_chameleon,,,,,,0.22034531831741333,-1.0,-1.0,-1.0,-1.0,-1.0,5.54178522195122,5.582847859521224,5.650621064395247,5.681998416639245,61.23055211103472,10.452729295707066,greedy
