

REQ-00000,10000,500,0.22266602516174316,1.9073486328125e-06,['mobilenet_v3_small'],garden_spider,1.0,weighted_majority,222.6335839368403,True,n01773549,1.0,garden_spider,,,,,,0.6652733087539673,-1.0,-1.0,-1.0,-1.0,-1.0,0.05593522415162531,-1.0,-1.0,-1.0,-1.0,-1.0
REQ-00001,10000,500,0.1908571720123291,0.1310558319091797,['mobilenet_v3_small'],spoonbill,1.0,weighted_majority,190.73770800605416,True,n02006656,1.0,spoonbill,,,,,,0.9999905824661255,-1.0,-1.0,-1.0,-1.0,-1.0,0.05593522415162531,-1.0,-1.0,-1.0,-1.0,-1.0
REQ-00002,10000,500,0.37595319747924805,0.9312288761138916,['mobilenet_v3_small'],limpkin,1.0,weighted_majority,375.8922079578042,True,n02013706,1.0,limpkin,,,,,,0.9998370409011841,-1.0,-1.0,-1.0,-1.0,-1.0,0.05430457156281649,-1.0,-1.0,-1.0,-1.0,-1.0
REQ-00003,10000,500,0.23040294647216797,1.104017734527588,['mobilenet_v3_small'],great_white_shark,1.0,weighted_majority,229.9695408437401,True,n01484850,1.0,great_white_shark,,,,,,0.9708097577095032,-1.0,-1.0,-1.0,-1.0,-1.0,0.05430457156281649,-1.0,-1.0,-1.0,-1.0,-1.0
REQ-00004,10000,500,0.41437697410583496,1.3592567443847656,['mobilenet_v3_small'],dungeness_crab,1.0,weighted_majority,414.340625051409,True,n01978287,1.0,dungeness_crab,,,,,,0.9101538062095642,-1.0,-1.0,-1.0,-1.0,-1.0,0.06198448296588136,-1.0,-1.0,-1.0,-1.0,-1.0
REQ-00005,10000,500,0.2239360809326172,1.6828699111938477,['mobilenet_v3_small'],american_coot,1.0,weighted_majority,223.77050016075373,True,n02018207,1.0,american_coot,,,,,,0.9891178011894226,-1.0,-1.0,-1.0,-1.0,-1.0,0.07300063466929323,-1.0,-1.0,-1.0,-1.0,-1.0
REQ-00006,10000,500,0.1907038688659668,1.918691635131836,['mobilenet_v3_small'],dungeness_crab,1.0,weighted_majority,190.36658387631178,True,n01978287,1.0,dungeness_crab,,,,,,0.9715155959129333,-1.0,-1.0,-1.0,-1.0,-1.0,0.07063067120236391,-1.0,-1.0,-1.0,-1.0,-1.0
REQ-00007,10000,500,0.3176908493041992,2.2237138748168945,['mobilenet_v3_small'],boa_constrictor,1.0,weighted_majority,317.6330840215087,True,n01742172,1.0,boa_constrictor,,,,,,0.9984984397888184,-1.0,-1.0,-1.0,-1.0,-1.0,0.06788760408212753,-1.0,-1.0,-1.0,-1.0,-1.0
REQ-00008,10000,500,0.35842299461364746,2.3225889205932617,['mobilenet_v3_small'],hen,1.0,weighted_majority,358.0886251293123,True,n01514859,1.0,hen,,,,,,0.93165522813797,-1.0,-1.0,-1.0,-1.0,-1.0,0.06788760408212753,-1.0,-1.0,-1.0,-1.0,-1.0
REQ-00009,10000,500,0.3847370147705078,3.6223926544189453,['mobilenet_v3_small'],tench,1.0,weighted_majority,384.70424991101027,True,n01440764,1.0,tench,,,,,,0.999860405921936,-1.0,-1.0,-1.0,-1.0,-1.0,0.0874452193065233,-1.0,-1.0,-1.0,-1.0,-1.0
REQ-00010,10000,500,0.18334674835205078,3.918027877807617,['mobilenet_v3_small'],wallaby,1.0,weighted_majority,183.09450009837747,True,n01877812,1.0,wallaby,,,,,,0.6168189644813538,-1.0,-1.0,-1.0,-1.0,-1.0,0.08910379737587097,-1.0,-1.0,-1.0,-1.0,-1.0



REQ-00000,10000,750,0.34712910652160645,1.9073486328125e-06,['mobilenet_v3_small'],red-backed_sandpiper,1.0,weighted_majority,346.8269589357078,True,n02027492,1.0,red-backed_sandpiper,,,,,,0.9911457896232605,-1.0,-1.0,-1.0,-1.0,-1.0,0.05263354676711115,-1.0,-1.0,-1.0,-1.0,-1.0
REQ-00001,10000,750,0.23665499687194824,0.962303876876831,['mobilenet_v3_small'],flatworm,1.0,weighted_majority,236.07133282348514,True,n01986214,1.0,flatworm,,,,,,0.26812857389450073,-1.0,-1.0,-1.0,-1.0,-1.0,0.06571949209040004,-1.0,-1.0,-1.0,-1.0,-1.0
REQ-00002,10000,750,0.28337907791137695,2.4749577045440674,['mobilenet_v3_small'],macaw,1.0,weighted_majority,283.31570816226304,True,n01818515,1.0,macaw,,,,,,0.9999979734420776,-1.0,-1.0,-1.0,-1.0,-1.0,0.06426704288136004,-1.0,-1.0,-1.0,-1.0,-1.0
REQ-00003,10000,750,0.23273801803588867,2.6690118312835693,['mobilenet_v3_small'],hammerhead,1.0,weighted_majority,232.35608311370015,True,n01494475,1.0,hammerhead,,,,,,0.6464565396308899,-1.0,-1.0,-1.0,-1.0,-1.0,0.06426704288136004,-1.0,-1.0,-1.0,-1.0,-1.0
REQ-00004,10000,750,0.2314739227294922,3.445178747177124,['mobilenet_v3_small'],white_stork,1.0,weighted_majority,231.2247920781374,True,n02002556,1.0,white_stork,,,,,,0.8818511366844177,-1.0,-1.0,-1.0,-1.0,-1.0,0.06540720473390163,-1.0,-1.0,-1.0,-1.0,-1.0
REQ-00000,10000,750,0.38362717628479004,1.0013580322265625e-05,['mobilenet_v3_small'],spoonbill,1.0,weighted_majority,378.6744999233633,True,n02006656,1.0,spoonbill,,,,,,0.9998717308044434,-1.0,-1.0,-1.0,-1.0,-1.0,0.05274164098624946,-1.0,-1.0,-1.0,-1.0,-1.0
