ID,Deadline,IAR,RespTime,RunTime,selected_models,selected_folder,label,Accuracy,combiner_policy,e2e_time_ms,Success,ModelSize,main_policy,ensemble_correct,mobilenet_v3_small_label,mobilenet_v3_small_prob,mobilenet_v3_small_wait,mobilenet_v3_small_correct,resnet18_label,resnet18_prob,resnet18_wait,resnet18_correct,resnet34_label,resnet34_prob,resnet34_wait,resnet34_correct,resnet50_label,resnet50_prob,resnet50_wait,resnet50_correct,resnet101_label,resnet101_prob,resnet101_wait,resnet101_correct,vit_b_16_label,vit_b_16_prob,vit_b_16_wait,vit_b_16_correct
REQ-00000,5000,2000,0.8156616687774658,2.1457672119140625e-06,"['vit_b_16', 'resnet101']",n01986214,hermit_crab,1.0,weighted_majority,815.1944580022246,True,2.0,greedy,True,,,0.0606342856563469,,,,0.0879791743544262,,,,0.1402577350263695,,,,0.1970157013915215,,hermit_crab,0.992293119430542,0.6790314143556508,True,hermit_crab,0.8577474355697632,0.3094634667250734,True
REQ-00006,5000,2000,6.877220869064331,12.081044912338257,['resnet18'],n01950731,sea_slug,1.0,weighted_majority,6876.989749958739,True,2.0,greedy,True,,,49.584072874916664,,sea_slug,0.8026881217956543,0.0953107722172951,True,,,50.41502854591667,,,,51.80517324016667,,,,54.104043468583335,,,,38.869693120916665,
REQ-00002,5000,2000,17.917731046676636,2.2673962116241455,"['vit_b_16', 'resnet50']",n01795545,black_grouse,1.0,weighted_majority,17917.521709110588,True,2.0,greedy,True,,,0.0606342856563469,,,,0.0879791743544262,,,,0.1402577350263695,,black_grouse,0.8557479381561279,0.1970157013915215,True,,,49.942193971,,black_grouse,0.8635379672050476,0.3059205280473095,True
REQ-00004,5000,2000,12.824525833129885,8.38410210609436,"['mobilenet_v3_small', 'resnet34']",n01806143,peacock,1.0,weighted_majority,12824.32350004092,True,2.0,greedy,True,peacock,0.9992483258247375,0.0606342856563469,True,,,0.0879791743544262,,peacock,0.9991981387138368,0.1402577350263695,True,,,47.820159914,,,,49.942193971,,,,35.879716727,
REQ-00007,5000,2000,11.44927430152893,14.546568870544434,['mobilenet_v3_small'],n01773549,black_and_gold_garden_spider,1.0,weighted_majority,11449.048958020285,Skipped,2.0,greedy,False,black_and_gold_garden_spider,0.9226862788200378,101.38924611508334,False,,,55.88738904016667,,,,102.22020178608336,,,,103.61034648033332,,,,105.90921670875,,,,53.204566666028185,
REQ-00010,5000,2000,6.159166097640991,21.77853488922119,['mobilenet_v3_small'],n01675722,banded_gecko,1.0,weighted_majority,6159.09658302553,Skipped,2.0,greedy,True,banded_gecko,0.8455307483673096,99.16814574983334,True,,,50.206642611578914,,,,51.01165104156739,,,,51.56245407544008,,,,103.6881163435,,,,50.9834663007782,
REQ-00011,5000,2000,4.73852014541626,23.219866037368774,['mobilenet_v3_small'],n01740131,night_snake,1.0,weighted_majority,4738.469792064279,Skipped,2.0,greedy,True,night_snake,0.7481034398078918,99.16814574983334,True,,,50.2066426115789,,,,51.01165104156738,,,,51.56245407544007,,,,103.6881163435,,,,50.98346630077819,
REQ-00001,5000,2000,26.9554979801178,1.308254957199097,"['resnet101', 'resnet50']",n01924916,thunder_snake,0.6405075595927839,weighted_majority,26955.372374970462,True,2.0,greedy,False,,,0.0606342856563469,,,,0.0879791743544262,,,,0.1402577350263695,,thunder_snake,0.9204211831092834,0.1970157013915215,False,flatworm,0.5165972709655762,0.6449659729200857,True,,,35.879716727,
REQ-00012,5000,2000,3.586085796356201,24.773298025131226,['mobilenet_v3_small'],n01774384,black_widow,1.0,weighted_majority,3586.0018329694867,Skipped,2.0,greedy,True,black_widow,0.99899560213089,83.29958185836891,True,,,34.33807872011448,,,,35.14308715010296,,,,35.69389018397565,,,,36.71729378204934,,,,35.114902409313764,
REQ-00013,5000,2000,3.7559778690338135,25.18172001838684,['mobilenet_v3_small'],n01985128,crayfish,1.0,weighted_majority,3755.8413750957698,Skipped,2.0,greedy,True,crayfish,0.7761322259902954,87.26672283123501,True,,,38.305219692980586,,,,39.11022812296906,,,,39.66103115684175,,,,40.68443475491544,,,,39.08204338217987,
